2026-03-01 18:41:58.411 | INFO     | logflow.core:configure_logging:159 | LogFlow initialized (Rank: N/A)
2026-03-01 18:41:58.412 | DEBUG    | liquify.core:_bootstrap:63 | Configuration loaded from /private/var/folders/4x/x26tt86913gcwvfprsl3xtnw0000gp/T/pytest-of-gertbehi/pytest-54/test_bootstrap_logic_direct0/logic_config.yaml
2026-03-01 18:41:58.426 | INFO     | logflow.core:configure_logging:159 | LogFlow initialized (Rank: N/A)
2026-03-01 18:41:58.426 | DEBUG    | liquify.core:_bootstrap:63 | Configuration loaded from /private/var/folders/4x/x26tt86913gcwvfprsl3xtnw0000gp/T/pytest-of-gertbehi/pytest-54/test_bootstrap_with_scopes_dir0/scoped_direct.yaml
2026-03-01 18:41:58.437 | INFO     | logflow.core:configure_logging:159 | LogFlow initialized (Rank: N/A)
2026-03-01 18:41:58.438 | DEBUG    | liquify.core:_bootstrap:63 | Configuration loaded from non_existent.yaml
2026-03-01 18:41:58.466 | INFO     | logflow.core:configure_logging:159 | LogFlow initialized (Rank: N/A)
2026-03-01 18:41:58.478 | INFO     | logflow.core:configure_logging:159 | LogFlow initialized (Rank: N/A)
2026-03-01 18:41:58.478 | DEBUG    | liquify.core:_bootstrap:63 | Configuration loaded from test.yaml
